institution,location,year,rank,ovr_score,academic_reputation,employer_reputation,cite_per_paper,h_index_citation
Alma Mater Studiorum - University of Bologna,Italy,2017,51-100,NaN,69.9,70.8,82.3,80
Universitat de Barcelona,Spain,2017,51-100,NaN,66.8,65.6,77.7,76.9
University of Vienna,Austria,2017,51-100,NaN,59.7,69,88.3,91.5
Université catholique de Louvain (UCLouvain),Belgium,2017,51-100,NaN,74.2,68.5,84.2,84.3
"Université Paris-Dauphine, Université PSL",France,2017,51-100,NaN,65.3,59.9,79.4,82.9
Université Pierre et Marie Curie (UPMC),France,2017,51-100,NaN,70.7,67,84.8,91.5
University of Bristol,United Kingdom,2017,51-100,NaN,71.6,62.5,87.6,86.9
"University of California, Davis",United States,2017,51-100,NaN,69.5,62.9,87,81.5
University of Copenhagen,Denmark,2017,51-100,NaN,66.3,68.7,80.3,75.1
The University of Edinburgh,United Kingdom,2017,51-100,NaN,71.9,72.5,79.5,73.3
University of Florida,United States,2017,51-100,NaN,67.4,52,84.9,78.5
University of Illinois at Urbana-Champaign,United States,2017,51-100,NaN,73.3,71,84.2,81.5
"University of Maryland, College Park",United States,2017,51-100,NaN,61.6,62.4,88.5,88.1
University of Minnesota Twin Cities,United States,2017,51-100,NaN,72.6,52.1,85.6,89.3
University of Southampton,United Kingdom,2017,51-100,NaN,71.3,63.8,85.8,81.5
University of Texas at Austin,United States,2017,51-100,NaN,74.1,76.8,84.2,80
University of Waterloo,Canada,2017,51-100,NaN,70.8,79.2,78,76.9
Virginia Polytechnic Institute and State University,United States,2017,51-100,NaN,67.9,54.7,87.1,80
Vrije Universiteit Amsterdam,Netherlands,2017,51-100,NaN,64.5,54,82.5,81.5
Beihang University (former BUAA),China (Mainland),2017,101-150,NaN,53.8,53.2,83.5,80
Brown University,United States,2017,101-150,NaN,65.1,68.5,76.9,69.4
University of Göttingen,Germany,2017,101-150,NaN,57.8,34.2,80.2,81.5
The Hebrew University of Jerusalem,Israel,2017,101-150,NaN,52.5,62.5,80.9,78.5
Indian Institute of Technology Bombay (IITB),India,2017,101-150,NaN,65.3,83.2,61.7,59.8
Indian Institute of Technology Delhi (IITD),India,2017,101-150,NaN,62.7,75.4,64.2,62.5
Indian Statistical Institute,India,2017,101-150,NaN,60.5,43.6,71.6,75.1
Indiana University Bloomington,United States,2017,101-150,NaN,48.8,64.7,88.2,81.5
Iowa State University,United States,2017,101-150,NaN,66.4,51.6,77.5,75.1
Université Laval,Canada,2017,101-150,NaN,51.4,65,78,80
Leiden University,Netherlands,2017,101-150,NaN,56.5,43.2,84,81.5
Lomonosov Moscow State University,Russia,2017,101-150,NaN,67.9,76.5,63.8,62.5
Lund University,Sweden,2017,101-150,NaN,57.2,55.7,82.2,80
McMaster University,Canada,2017,101-150,NaN,62.3,71.9,81.4,76.9
Nanjing University,China (Mainland),2017,101-150,NaN,59.6,70.5,72,65
National Central University,Taiwan,2017,101-150,NaN,63.9,67.9,71.6,69.4
National Cheng Kung University (NCKU),Taiwan,2017,101-150,NaN,62.1,80.8,75.9,69.4
National Chiao Tung University,Taiwan,2017,101-150,NaN,67.8,75,73.1,69.4
Osaka University,Japan,2017,101-150,NaN,61,74.6,66.6,62.5
Pontificia Universidad Católica de Chile (UC),Chile,2017,101-150,NaN,65.9,73.9,68.9,69.4
Queensland University of Technology (QUT),Australia,2017,101-150,NaN,65.3,65.8,71.6,65
Sapienza University of Rome,Italy,2017,101-150,NaN,65.9,57.5,77.8,76.9
Stockholm University,Sweden,2017,101-150,NaN,57,67.8,85.9,69.4
Sungkyunkwan University(SKKU),South Korea,2017,101-150,NaN,66.5,86.7,68.5,67.3
The University of Georgia,United States,2017,101-150,NaN,62.9,40.4,71.7,71.4
Tilburg University,Netherlands,2017,101-150,NaN,60.1,59.9,75.7,67.3
Universidad Carlos III de Madrid (UC3M),Spain,2017,101-150,NaN,61,63,76.4,69.4
Universidade Estadual de Campinas (Unicamp),Brazil,2017,101-150,NaN,64.1,62.8,74.3,75.1
Universitat Autònoma de Barcelona,Spain,2017,101-150,NaN,65.1,62.5,67.1,59.8
Universitat Politècnica de Catalunya · BarcelonaTech (UPC),Spain,2017,101-150,NaN,56.2,68.2,80.6,73.3
Universiti Malaya (UM),Malaysia,2017,101-150,NaN,68.6,80,68.3,65
University of Alberta,Canada,2017,101-150,NaN,62.4,68.8,80.5,80
University of Bath,United Kingdom,2017,101-150,NaN,54.9,64.1,84.1,75.1
University of Birmingham,United Kingdom,2017,101-150,NaN,58.7,66,73.1,69.4
University of Calgary,Canada,2017,101-150,NaN,61,71.9,74,69.4
"University of California, Irvine",United States,2017,101-150,NaN,61.8,55.4,82.6,76.9
Ghent University,Belgium,2017,101-150,NaN,56.4,63.1,89,82.9
University of Glasgow,United Kingdom,2017,101-150,NaN,61.5,46.8,88,65
University of Groningen,Netherlands,2017,101-150,NaN,57.1,47.9,84.8,78.5
University of Iowa,United States,2017,101-150,NaN,56.3,50.5,78.2,76.9
University of Lisbon,Portugal,2017,101-150,NaN,52.9,74.3,87.3,93.6
University of Pittsburgh,United States,2017,101-150,NaN,55,54.1,80.8,76.9
University of Southern California,United States,2017,101-150,NaN,54.1,55.4,87.6,84.3
University of Strathclyde,United Kingdom,2017,101-150,NaN,57.4,58.6,75.7,75.1
University of Virginia,United States,2017,101-150,NaN,55.6,61.2,88.5,69.4
Uppsala University,Sweden,2017,101-150,NaN,58.9,54.6,85.3,69.4
Western University,Canada,2017,101-150,NaN,60,70.9,82.6,80
Xi’an Jiaotong University,China (Mainland),2017,101-150,NaN,55.6,48.3,79.4,78.5
Yonsei University,South Korea,2017,101-150,NaN,70.3,83.5,64.6,65
Zhejiang University,China (Mainland),2017,101-150,NaN,58.9,79.2,80.5,73.3
Beijing Normal University,China (Mainland),2017,151-200,NaN,51.6,59.8,76.8,73.3
Cardiff University,United Kingdom,2017,151-200,NaN,46.5,64.7,79.3,81.5
Chalmers University of Technology,Sweden,2017,151-200,NaN,63.2,40.7,69,69.4
"City, University of London",United Kingdom,2017,151-200,NaN,52,62.4,75.3,73.3
Heriot-Watt University,United Kingdom,2017,151-200,NaN,57,54.8,64.3,62.5
Hong Kong Baptist University,Hong Kong SAR,2017,151-200,NaN,44.3,63.2,79.9,76.9
Indian Institute of Technology Kanpur (IITK),India,2017,151-200,NaN,58.3,63.5,68.2,69.4
Indian Institute of Technology Kharagpur (IIT-KGP),India,2017,151-200,NaN,57.7,67,68.2,65
Maastricht University,Netherlands,2017,151-200,NaN,53.9,59.2,72.3,67.3
Massey University,New Zealand,2017,151-200,NaN,60.4,70,61.3,59.8
Middle East Technical University,Turkey,2017,151-200,NaN,57.7,67.4,65.8,71.4
Nankai University,China (Mainland),2017,151-200,NaN,48.4,54.5,81,73.3
National Chengchi University,Taiwan,2017,151-200,NaN,57.6,70.8,60.1,56.9
National Sun Yat-sen University,Taiwan,2017,151-200,NaN,60.4,65.6,62.3,53.7
Renmin (People's) University of China,China (Mainland),2017,151-200,NaN,58.2,62.4,64,59.8
RMIT University,Australia,2017,151-200,NaN,60.9,71.3,66,59.8
Shanghai University,China (Mainland),2017,151-200,NaN,49.2,56,77.1,73.3
Simon Fraser University,Canada,2017,151-200,NaN,52.3,57.4,76.8,73.3
Tel Aviv University,Israel,2017,151-200,NaN,54.1,49.9,81.3,76.9
The University of Sheffield,United Kingdom,2017,151-200,NaN,56.8,52.1,75.3,71.4
The University of Western Australia,Australia,2017,151-200,NaN,57.3,76.6,65.3,65
Tohoku University,Japan,2017,151-200,NaN,59.1,67.6,58.9,56.9
Complutense University of Madrid,Spain,2017,151-200,NaN,49.9,68.2,72.7,69.4
Universidad de Sevilla,Spain,2017,151-200,NaN,49.7,56,75.9,71.4
Universitat Politècnica de València,Spain,2017,151-200,NaN,54.9,60.3,71.2,67.3
Universidade Federal de Minas Gerais,Brazil,2017,151-200,NaN,57.9,49.7,69.6,69.4
Universidade Federal do Rio de Janeiro,Brazil,2017,151-200,NaN,62.7,53.2,66.2,65
University of Florence,Italy,2017,151-200,NaN,51.6,51.6,72.8,71.4
University of Naples - Federico II,Italy,2017,151-200,NaN,48.1,58.5,74.2,73.3
University of Pisa,Italy,2017,151-200,NaN,55.2,64.1,73.1,73.3
Universitat de Valencia,Spain,2017,151-200,NaN,57.5,63.9,70.7,67.3
Université du Québec,Canada,2017,151-200,NaN,45.5,63.5,77.5,80
Université Diderot Paris 7,France,2017,151-200,NaN,49.8,36.3,79.8,75.1
Université Paris-Saclay,France,2017,151-200,NaN,42.2,57.1,84,82.9
Universiti Kebangsaan Malaysia (UKM),Malaysia,2017,151-200,NaN,60.2,64.8,57.6,56.9
Universiti Sains Malaysia (USM),Malaysia,2017,151-200,NaN,58,71.7,60.3,62.5
University College Dublin,Ireland,2017,151-200,NaN,53.8,74.8,65.6,65
"University of California, Santa Barbara (UCSB)",United States,2017,151-200,NaN,53.7,53.9,78.5,75.1
University of Canterbury,New Zealand,2017,151-200,NaN,62.2,67,63,59.8
University of Helsinki,Finland,2017,151-200,NaN,50.4,53,76.9,75.1
University of Illinois at Chicago (UIC),United States,2017,151-200,NaN,51.4,59.5,72.8,67.3
University of Leeds,United Kingdom,2017,151-200,NaN,53.3,57.2,75.9,67.3
University of Otago,New Zealand,2017,151-200,NaN,64.9,66.5,55.3,50.2
University of Technology Sydney,Australia,2017,151-200,NaN,56.6,72.3,68.7,67.3
"The University of Tennessee, Knoxville",United States,2017,151-200,NaN,47.9,51.9,87.5,69.4
University of Twente,Netherlands,2017,151-200,NaN,49.3,50.5,85.3,78.5
University of Zurich,Switzerland,2017,151-200,NaN,49.8,65.9,76.1,69.4
Utrecht University,Netherlands,2017,151-200,NaN,57.4,37.9,81.8,69.4
Victoria University of Wellington,New Zealand,2017,151-200,NaN,58.3,70.7,58,62.5
Washington University in St. Louis,United States,2017,151-200,NaN,51.7,55,75.6,67.3
York University,Canada,2017,151-200,NaN,46,77.8,76.8,76.9
Massachusetts Institute of Technology (MIT),United States,2016,1,97.1,100,95.1,92.9,95.2
Stanford University,United States,2016,2,94.1,93.1,93.7,96.8,94
Harvard University,United States,2016,3,93.4,91.6,100,94.1,94
"University of California, Berkeley (UCB)",United States,2016,4,92.3,90.8,88.6,93.6,96.5
University of Cambridge,United Kingdom,2016,5,91.3,88.4,97.8,92.8,94
University of Oxford,United Kingdom,2016,6,89.9,87.7,98.3,91.3,89.9
Georgia Institute of Technology,United States,2016,7,86.9,89,77.5,86.1,87
National University of Singapore (NUS),Singapore,2016,8,85.9,82,90.6,86.4,92.7
ETH Zurich - Swiss Federal Institute of Technology,Switzerland,2016,9,85.8,84.2,74.9,89.6,91.3
Carnegie Mellon University,United States,2016,=10,85.4,82.7,77.4,90.3,91.3
Imperial College London,United Kingdom,2016,=10,85.4,84.7,83.7,89.5,83.9
University of Michigan-Ann Arbor,United States,2016,12,85.1,78.1,77.5,91.3,100
Princeton University,United States,2016,13,84.9,84,84.6,91.9,80.5
University of Washington,United States,2016,14,84,79.7,75.8,90.3,92.7
"University of California, Los Angeles (UCLA)",United States,2016,15,83.7,79.1,84.9,90,88.5
University of Toronto,Canada,2016,16,83.3,73.3,86.2,97.2,92.7
Columbia University,United States,2016,17,82.4,78.7,80.4,84.9,89.9
Cornell University,United States,2016,18,82,81.2,75.3,85.5,83.9
The University of Tokyo,Japan,2016,19,81.3,81.8,90.9,79.8,76.8
University of Pennsylvania,United States,2016,20,79.6,71.4,78.5,91.9,88.5
University of Chicago,United States,2016,21,79.1,78.4,82,83.6,74.9
Duke University,United States,2016,22,78.2,73,73.9,84.3,87
The University of Hong Kong,Hong Kong SAR,2016,23,78.1,72.5,96.9,83.9,76.8
The Hong Kong University of Science and Technology,Hong Kong SAR,2016,=24,77.3,73.1,88.1,84.9,74.9
University of Wisconsin-Madison,United States,2016,=24,77.3,74.4,77.8,84.6,76.8
Tsinghua University,China (Mainland),2016,26,77.2,72.2,84.6,84.6,78.7
UCL,United Kingdom,2016,27,76.9,70.2,68.9,90.8,83.9
"University of North Carolina, Chapel Hill",United States,2016,28,76.5,70.8,66.6,85.4,87
Johns Hopkins University,United States,2016,29,76.3,69,68.4,90.7,83.9
The Australian National University,Australia,2016,30,76.2,73.3,83.2,85.5,70.7
KU Leuven,Belgium,2016,=31,76,66.6,72.4,90.5,87
Purdue University,United States,2016,=31,76,71,78,84.6,78.7
The University of Melbourne,Australia,2016,33,75.9,69.1,87.4,84.5,78.7
University of British Columbia,Canada,2016,34,75.7,66.6,83.3,91.4,78.7
Yale University,United States,2016,35,75.5,70.1,88.4,85.4,72.8
The London School of Economics and Political Science (LSE),United Kingdom,2016,=36,75.4,78.8,92.1,70.5,63.5
"Nanyang Technological University, Singapore (NTU)",Singapore,2016,=36,75.4,66.1,89.6,86.2,80.5
Texas A&M University,United States,2016,=36,75.4,70.4,63.2,84.1,85.4
The Chinese University of Hong Kong (CUHK),Hong Kong SAR,2016,=39,75.1,67.9,83.5,85.2,78.7
The University of Warwick,United Kingdom,2016,=39,75.1,74,75.2,80,72.8
McGill University,Canada,2016,41,74.9,66.4,81.4,87.1,80.5
Université de Montréal,Canada,2016,42,74.8,65.9,73.6,88.3,83.9
University of Texas at Austin,United States,2016,43,74.2,67,82.3,85.6,76.8
New York University (NYU),United States,2016,44,73.9,62.5,78.9,91.6,82.2
Northwestern University,United States,2016,45,73.4,63.5,76.5,89.3,80.5
The Hong Kong Polytechnic University,Hong Kong SAR,2016,46,73.2,58.7,73.8,91.1,91.3
Pennsylvania State University,United States,2016,=47,73,64.5,68.9,84.1,85.4
Université catholique de Louvain (UCLouvain),Belgium,2016,=47,73,67.9,66.2,83.5,78.7
Eindhoven University of Technology,Netherlands,2016,=49,72.9,69.5,57.5,83.5,78.7
University of Minnesota Twin Cities,United States,2016,=49,72.9,65.1,58.8,86.8,85.4
Aarhus University,Denmark,2016,51-100,NaN,54.7,67,73.2,70.7
Boston University,United States,2016,51-100,NaN,52.8,71.1,91.6,80.5
City University of Hong Kong,Hong Kong SAR,2016,51-100,NaN,52.4,83.3,88.1,78.7
"Ecole normale supérieure, Paris",France,2016,51-100,NaN,60.2,62.4,83.5,58
Erasmus University Rotterdam,Netherlands,2016,51-100,NaN,59.3,71.1,85.7,70.7
Fudan University,China (Mainland),2016,51-100,NaN,54.2,77.9,82.3,76.8
Humboldt-Universität zu Berlin,Germany,2016,51-100,NaN,58.7,63,81.1,70.7
Iowa State University,United States,2016,51-100,NaN,60.3,51.7,76.1,66
Korea University,South Korea,2016,51-100,NaN,63.6,86.7,69.7,58
Lancaster University,United Kingdom,2016,51-100,NaN,65.4,47.6,83.5,74.9
Ludwig-Maximilians-Universität München,Germany,2016,51-100,NaN,55.7,53.2,79.7,70.7
McMaster University,Canada,2016,51-100,NaN,55.3,72.9,79.5,78.7
Michigan State University,United States,2016,51-100,NaN,50,69.1,84.7,80.5
Monash University,Australia,2016,51-100,NaN,59.5,79.2,74,60.9
National Chiao Tung University,Taiwan,2016,51-100,NaN,59,80,74.3,60.9
National Tsing Hua University,Taiwan,2016,51-100,NaN,62.8,80.5,71.6,60.9
North Carolina State University,United States,2016,51-100,NaN,61.7,56.1,84.3,76.8
The Ohio State University,United States,2016,51-100,NaN,51,60.4,84.7,87
Peking University,China (Mainland),2016,51-100,NaN,65.4,88.4,80.9,66
Pontificia Universidad Católica de Chile (UC),Chile,2016,51-100,NaN,59.2,72.9,70.5,63.5
Sapienza University of Rome,Italy,2016,51-100,NaN,58.5,65.5,75,72.8
Seoul National University,South Korea,2016,51-100,NaN,70,87.3,77.1,68.4
Shanghai Jiao Tong University,China (Mainland),2016,51-100,NaN,57.2,83.8,85.8,76.8
Technische Universität Berlin (TU Berlin),Germany,2016,51-100,NaN,66,66.2,81.4,70.7
The University of Auckland,New Zealand,2016,51-100,NaN,63.5,83.2,81.6,76.8
The University of Manchester,United Kingdom,2016,51-100,NaN,62.4,72.1,80.8,74.9
The University of New South Wales (UNSW Sydney),Australia,2016,51-100,NaN,60.1,84.1,80.9,72.8
University of Nottingham,United Kingdom,2016,51-100,NaN,58.5,65.8,88.1,78.7
The University of Queensland,Australia,2016,51-100,NaN,61.2,73.5,91.1,70.7
The University of Sydney,Australia,2016,51-100,NaN,64,85.4,81,74.9
Tokyo Institute of Technology (Tokyo Tech),Japan,2016,51-100,NaN,67.7,63.2,71.8,58
Universidade de São Paulo,Brazil,2016,51-100,NaN,60.9,70.6,71.9,76.8
Universidade Estadual de Campinas (Unicamp),Brazil,2016,51-100,NaN,56.9,64.9,69.9,72.8
Università di Padova,Italy,2016,51-100,NaN,51.8,53,82.8,76.8
Alma Mater Studiorum - University of Bologna,Italy,2016,51-100,NaN,61.1,74.2,81.5,76.8
University of Vienna,Austria,2016,51-100,NaN,48.7,64.4,86.9,87
Université Pierre et Marie Curie (UPMC),France,2016,51-100,NaN,62.7,70,83.3,82.2
University of Amsterdam,Netherlands,2016,51-100,NaN,62.8,63.3,88.8,83.9
University of Bristol,United Kingdom,2016,51-100,NaN,60.4,62.3,87.9,80.5
"University of California, Davis",United States,2016,51-100,NaN,59.5,70.7,84.4,74.9
"University of California, San Diego (UCSD)",United States,2016,51-100,NaN,54,63.7,100,85.4
University of Copenhagen,Denmark,2016,51-100,NaN,53.7,73.1,74.9,68.4
The University of Edinburgh,United Kingdom,2016,51-100,NaN,58.5,70.5,84.7,63.5
University of Florida,United States,2016,51-100,NaN,55.8,58.9,84.8,80.5
University of Illinois at Urbana-Champaign,United States,2016,51-100,NaN,65.2,68.4,85.3,74.9
"University of Maryland, College Park",United States,2016,51-100,NaN,50.1,67,89.1,87
University of Southampton,United Kingdom,2016,51-100,NaN,64.5,55.3,81.7,74.9
University of Waterloo,Canada,2016,51-100,NaN,61.3,81.2,76.6,70.7
Vrije Universiteit Amsterdam,Netherlands,2016,51-100,NaN,54.6,57.2,78.2,70.7
Western University,Canada,2016,51-100,NaN,51.5,72.5,76.2,72.8
Arizona State University,United States,2016,101-150,NaN,44.8,60.3,88.6,80.5
Brown University,United States,2016,101-150,NaN,54.9,75.1,71.7,66
Colorado State University,United States,2016,101-150,NaN,45.3,51.3,74.9,70.7
University of Göttingen,Germany,2016,101-150,NaN,48.3,46.8,76.2,76.8
The Hebrew University of Jerusalem,Israel,2016,101-150,NaN,45.4,65.4,80.8,68.4
Indian Institute of Technology Bombay (IITB),India,2016,101-150,NaN,54.5,84.6,72.1,60.9
Indian Institute of Technology Kanpur (IITK),India,2016,101-150,NaN,50.8,67.6,65.1,55
Indian Statistical Institute,India,2016,101-150,NaN,56.2,42.9,67.9,63.5
Indiana University Bloomington,United States,2016,101-150,NaN,36.2,68.3,87.2,76.8
KTH Royal Institute of Technology,Sweden,2016,101-150,NaN,56.7,64,72.7,63.5
Leiden University,Netherlands,2016,101-150,NaN,50.2,52.4,86.3,72.8
Lomonosov Moscow State University,Russia,2016,101-150,NaN,58.3,70.8,60.9,58
Maastricht University,Netherlands,2016,101-150,NaN,42,59.7,79.2,63.5
Middle East Technical University,Turkey,2016,101-150,NaN,48.9,67.4,64.1,66
National Central University,Taiwan,2016,101-150,NaN,52.9,73.3,67,55
National Cheng Kung University (NCKU),Taiwan,2016,101-150,NaN,54.9,79.8,75.4,60.9
Osaka University,Japan,2016,101-150,NaN,52.6,73.8,66.4,63.5
RWTH Aachen University,Germany,2016,101-150,NaN,61.8,59.4,67.9,58
Rutgers University–New Brunswick,United States,2016,101-150,NaN,46.3,53.9,90.6,74.9
Sungkyunkwan University(SKKU),South Korea,2016,101-150,NaN,54.2,86.4,59,44.4
Tel Aviv University,Israel,2016,101-150,NaN,44.2,53.1,82.3,74.9
Tilburg University,Netherlands,2016,101-150,NaN,50.7,62.1,73.5,66
Universidad Carlos III de Madrid (UC3M),Spain,2016,101-150,NaN,48.9,66.6,73.2,55
Universitat Politècnica de València,Spain,2016,101-150,NaN,46.4,68.3,74.4,55
Universidade Federal de Minas Gerais,Brazil,2016,101-150,NaN,51.6,52.4,69.3,60.9
