,score,name,rank,country,district
785,40.2,University of Idaho,76,United States,"Moscow, ID"
786,40.1,Howard University,77,United States,"Washington, DC"
787,40.1,Universidad Autonoma de San Luis Potosi,77,Mexico,"Mexico City, San Luis Potosi"
788,40.1,University of Eastern Piedmont Amedeo Avogadro,77,Italy,Vercelli
789,40.1,University of Rhode Island,77,United States,"Kingston, RI"
790,40,Alexandria University,77,Egypt,Alexandria
791,40,Universitat Jaume I,77,Spain,Castellón de la Plana
792,39.8,heSam Universite,78,France,Paris
793,39.8,Johannes Kepler University of Linz,78,Austria,Linz
794,39.8,University of Vigo,78,Spain,"Vigo, Pontevedra"
795,39.7,Kazan Federal University,78,Russia,Kazan
796,39.7,Universidade Federal de Juiz de Fora,78,Brazil,Juiz de Fora
797,39.7,Universitat Ramon Llull,78,Spain,Barcelona
798,39.6,Aligarh Muslim University,78,India,Aligarh
799,39.6,Hefei University of Technology,78,China,"Hefei, Anhui"
800,39.6,Yildiz Teknik University,78,Turkey,Istanbul
801,39.5,Hasselt University,78,Belgium,"Hasselt, Limburg"
802,39.5,Missouri University of Science & Technology,78,United States,"Rolla, MO"
803,39.5,University of Insubria,78,Italy,Varese
804,39.5,University of Messina,78,Italy,Messina
805,39.5,Yeungnam University,78,South Korea,"Gyeongsan, Gyeongbuk"
806,39.4,Ocean University of China,79,China,"Quingdao, Shandong"
807,39.4,Salzburg University,79,Austria,Salzburg
808,39.4,University of Concepción,79,Chile,Concepcion
809,39.4,Zhengzhou University,79,China,"Zhengzhou, Henan"
810,39.3,Xidian University,79,China,"Xi'an, Shaanxi"
811,39.2,Adam Mickiewicz University,79,Poland,Poznań
812,39.2,Lehigh University,79,United States,"Bethlehem, PA"
813,39.2,University of Hull,79,United Kingdom,Hull
814,39.2,University of Texas--El Paso,79,United States,"El Paso, TX"
815,39.1,New Jersey Institute of Technology,80,United States,"Newark, NJ"
816,39.1,New York Medical College,80,United States,"Valhalla, NY"
817,39.1,Royal College of Surgeons - Ireland,80,Ireland,Dublin
818,39.1,United Arab Emirates University,80,United Arab Emirates,"Al-Ain, UAE"
819,39.1,University of Murcia,80,Spain,Murcia
820,39,Binghamton University--SUNY,80,United States,"Binghamton, NY"
821,39,Donghua University,80,China,Shanghai
822,38.9,All India Institute of Medical Sciences,81,India,New Delhi
823,38.9,Federal University of Paraná,81,Brazil,Curitiba
824,38.9,Nanjing Medical University,81,China,"Gulou, Nanjing"
825,38.9,Tarbiat Modares University,81,Iran,Tehran
826,38.9,Universidade Federal de Pelotas,81,Brazil,Pelotas
827,38.8,Cukurova University,81,Turkey,Adana
828,38.8,University of North Carolina--Charlotte,81,United States,"Charlotte, NC"
829,38.7,Maynooth University,81,Ireland,Maynooth
830,38.7,Universite de Haute-Alsace (UHA),81,France,Mulhouse
831,38.4,China Medical University Taiwan,81,Taiwan,Taichung
832,38.4,Mississippi State University,81,United States,"Mississippi State University, MS"
833,38.4,Nanjing Normal University,81,China,"Nanjing, Jiangsu"
834,38.4,"Northwest University, Xi'an",81,China,"Xi'an, Shaanxi"
835,38.4,Universidade Federal de Sao Joao del-Rei,81,Brazil,Sao Joao del-Rei
836,38.4,University of Akron,81,United States,"Akron, OH"
837,38.4,University of Alabama--Huntsville,81,United States,"Huntsville, AL"
838,38.3,Federal University of Sao Carlos,82,Brazil,"São Carlos, SP"
839,38.2,Hohai University,82,China,"Nanjing, Jiangsu"
840,38.2,Konkuk University,82,South Korea,Seoul
841,38.2,Mersin University,82,Turkey,Mersin
842,38.2,National Polytechnic Institute,82,Mexico,Mexico City
843,38.2,National Sun Yat-Sen University,82,Taiwan,Kaohsiung
844,38.2,University of Maribor,82,Slovenia,Maribor
845,38.1,Federal University of Pernambuco,83,Brazil,"Recife, PE"
846,38.1,National Yang-Ming University,83,Taiwan,Taipei
847,38.1,ShanghaiTech University,83,China,"Pudong, Shanghai"
848,38.1,University of Wrocław,83,Poland,Wrocław
849,38,Beijing University of Posts,83,China,Beijing
